date,kind,content,solution
주행장치 기타,2024-12-27 ~ ,"휠 중앙 잠금장치가 제조상 문제로 내구성이 부족하여 파손될 수 있으며, 이런 경우 휠이 차량으로부터 분리될 수 있고 사고의 위험이 높아질 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>911 카레라 4 GTS: 2023.12.20911 카레라 4 GTS 카브리올레: 2023.12.20",휠 중앙 잠금장치 점검 후 필요 시 정상품으로 교체 
주행장치 기타,2024-12-27 ~ ,"휠 중앙 잠금장치가 제조상 문제로 내구성이 부족하여 파손될 수 있으며, 이런 경우 휠이 차량으로부터 분리될 가능성이 있고 사고의 위험이 높아질 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>911 GT3 : 2023.11.15911 카레라 4 GTS : 2023.09.15~2024.01.25911 카레라 4 GTS 카브리올레 : 2023.09.13~2024.01.10911 카레라 GTS : 2023.09.22~2023.12.16911 카레라 GTS 카브리올레 : 2023.09.13~ 2023.11.28911 타르가 4 GTS : 2023.09.18~2023.12.14911 터보 S : 2023.09.14~2023.12.02911 터보 S 카브리올레 : 2023.09.13~2023.11.24파나메라 터보 E-하이브리드 : 2024.05.22 ~ 2024.07.03 ",휠 중앙 잠금장치 점검 후 필요 시 정상품으로 교체 
조향장치 기타,2024-12-26 ~ ,"스티어링 기어박스와 브라켓을 연결하는 볼트 체결 작업불량으로 체결력이 저하될 수 있으며, 이로 인해 스티어링 기어박스가 유격 또는 이탈될 시 조향불가로 차량 조종 및 제어가 되지 않을 수 있는 가능성에 따른 리콜 ",볼트 재체결 
전기장치 기타,2024-12-24 ~ ,"주간상시점등장치(DRL) 제어기 로직이 오설정(벌브사양 방향지시등)되어 벌브사양 방향지시등 작동 시 주간상시점등장치가 소등되는 법규 불만족 결함이 존재하는 것으로 확인됨에 따른 리콜 
",파워 도메인 컨트롤러(PDC) 소프트웨어 업데이트 
연료장치 기타,2024-12-23 ~ ,"연료 펌프 컨트롤 모듈이 과도한 습기에 노출될 경우 일부 IC칩(집적회로)이 손상될 수 있으며, 이로 인해 연료가 정상적으로 공급되지 않아 엔진 경고등을 동반한 시동불가 현상 및 잠재적으로 시동꺼짐 현상이 발생할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>에스컬레이드: 2020.11.18~2022.08.29XT4: 2020.09.15~2024.03.06XT5: 2020.07.24~2022.10.21XT6: 2020.08.12~2023.05.11","연료 펌프 컨트롤 모듈 교환 <대상차량별 시정조치기간>XT5, XT6: 2024년 12월 23일부터 완료 시까지 에스컬레이드, XT4: 2025년 01월 20일부터 완료 시까지 <대상차량별 시정조치기간이 상이하므로, 자세한 사항은 제작사 고객센터(080-800-1228)로 문의하여 주시기 바랍니다.>"
연료장치 기타,2024-12-23 ~ ,"연료 펌프 컨트롤 모듈이 과도한 습기에 노출될 경우 일부 IC칩(집적회로)이 손상될 수 있으며, 이런 경우 연료가 정상적으로 공급되지 않아 엔진 경고등을 동반한 시동불가 현상 및 잠재적으로 시동꺼짐 현상이 발생할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>올뉴 말리부: 2020.03.17~2022.08.31트랙스: 2020.10.15~2022.09.02이쿼녹스: 2021.03.24~2022.09.22트래버스: 2021.05.03~2022.10.27타호: 2021.06.22~2022.09.12콜로라도: 2022.09.28~2024.02.20트랙스 크로스오버: 2022.12.08~2023.08.07트레일블레이저: 2023.02.20~2023.08.22시에라: 2022.06.08~2024.04.12","연료 펌프 컨트롤 모듈 교환 <대상차량별 시정조치기간>올 뉴 말리부, 트랙스, 트래버스, 타호: 2024년 12월 23일부터 완료시까지 트랙스 크로스오버, 트레일블레이저, 이쿼녹스, 콜로라도. GMC 시에라: 2025년 01월 20일부터 완료시까지  <대상차량별 시정조치기간이 상이하므로, 자세한 사항은 제작사 고객센터(080-3000-5000)로 문의하여 주시기 바랍니다.>"
동력전달장치 기타,2024-12-20 ~ ,"파워트레인 컨트롤 유닛 소프트웨어 정보 전송에 오류가 발생할 수 있으며, 이런 경우 마지막 주행 사이클에 대한 OBD 진단 정보(예: 고장코드)가 저장되지 않을 수 있는 가능성에 따른 리콜 <대상차량별 생산일자는 상이할 수 있으므로, 자세한 사항은 제작사 고객센터(080-001-1886)으로 문의하여 주시기 바랍니다.>",파워트레인 컨트롤 유닛(PTCU) 소프트웨어 업데이트 
전기장치 기타,2024-12-20 ~ ,"중앙 영상 및 주차 보조 모듈(CVPAM) 소프트웨어 오류로 인하여 후방 카메라의 영상 신호가 중앙 모니터 화면으로 전송되지 않을 수 있으며, 이런 경우 후진 시 후방 카메라 영상이 중앙 모니터에 표시되지 않아 운전자의 후방 가시성이 감소하여 보행자와의 충돌 및 부상 위험이 증가할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>그레칼레 GT 하이브리드: 2023.02.14~2023.12.06그레칼레 모데나 하이브리드: 2023.02.07~2023.12.13그레칼레 트로페오: 2023.05.29~2023.11.21",대상 차량의 CVPAM 소프트웨어를 개선된 버전으로 업데이트 
등화장치 기타,2024-12-20 ~ ,전조등 제어장치 소프트웨어 오류로 인해 적응형 전조등 중 일부인 곡선로 조명이 후진 시에도 작동할 수 있는 가능성에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제38조를 만족하지 못할 수 있음)<대상차량별 생산일자>카이엔: 2024.06.13카이엔 쿠페: 2024.06.13~2024.06.14카이엔 S E-하이브리드 쿠페: 2024.06.13,전조등 제어장치 소프트웨어 업데이트 
연료장치 기타,2024-12-20 ~ ,"생산 공장에서 작업자가 표준 절차를 따르지 않고 작업 편의를 위해 순서를 바꿔 넥튜브를 결합함. 이로 인해 연료탱크 측의 필러 파이프와 연료주입구 측의 넥튜브를 연결하는 과정에서 넥튜브의 올바른 결합 위치를 잡아주는 풀탭의 제거 순서가 올바르지 않아 필러 파이프와 넥튜브의 연결이 정확하게 결합되지 않았을 수 있으며, 이런 경우 연료 주입 시 연료 누출이 발생할 수 있는 가능성이 확인됨에 따른 리콜 ",넥튜브 연결 상태 확인 및 재결합 
